第161个节点
UB = 240480, LB = 240480, GAP = 0
上海站828分出乘G7092 →G7220 上海站1319分退乘 ,总长度, 491,纯乘务时间 330,总接续时间 161,外驻时间 0,总工作时间611
上海虹桥站815分出乘G7148 →D9518 →G7603 →G1364/5 上海虹桥站1340分退乘 ,总长度, 525,纯乘务时间 353,总接续时间 172,外驻时间 0,总工作时间645
南京南站718分出乘G7674/2 →G7166/3 →G7128 →G7350/2 南京南站1408分退乘 ,总长度, 690,纯乘务时间 364,总接续时间 326,外驻时间 0,总工作时间810
上海虹桥站380分出乘G7331 →G7467/2 →G7336 上海虹桥站1072分退乘 ,总长度, 692,纯乘务时间 461,总接续时间 231,外驻时间 0,总工作时间812
上海虹桥站771分出乘G7378/1 →G7465 →G7462 →G1660/2 上海虹桥站1398分退乘 ,总长度, 627,纯乘务时间 395,总接续时间 232,外驻时间 0,总工作时间747
南京南站424分出乘G7643 →G7643/1 →G7572/1 →G7078/1 →G7218 →D5644 南京南站1132分退乘 ,总长度, 708,纯乘务时间 471,总接续时间 237,外驻时间 0,总工作时间828
南京南站868分出乘D9515 →G7284 →D5607 →D5610 南京南站1263分退乘 ,总长度, 395,纯乘务时间 321,总接续时间 74,外驻时间 0,总工作时间515
上海虹桥站630分出乘G7136 →D9514 →G7649 →G1364/1 上海虹桥站1340分退乘 ,总长度, 710,纯乘务时间 511,总接续时间 199,外驻时间 0,总工作时间830
杭州东站468分出乘G7533 →G2362 →G7622 →G7685/2 →G7316 杭州东站1187分退乘 ,总长度, 719,纯乘务时间 354,总接续时间 365,外驻时间 0,总工作时间839
南京南站779分出乘G7229 →G7054 →G7025 →G7030 南京南站1379分退乘 ,总长度, 600,纯乘务时间 461,总接续时间 139,外驻时间 0,总工作时间720
杭州东站408分出乘G7556 →G576 →G7234 →G7566/3 杭州东站1086分退乘 ,总长度, 678,纯乘务时间 558,总接续时间 120,外驻时间 0,总工作时间798
南京南站480分出乘G7689 →G7467 →G7619/2 →G7464 →G7644 南京南站1161分退乘 ,总长度, 681,纯乘务时间 450,总接续时间 231,外驻时间 0,总工作时间801
上海虹桥站510分出乘G7325 →G7348/1 →G7348/2 →G7116 →G7123 上海虹桥站1230分退乘 ,总长度, 720,纯乘务时间 466,总接续时间 254,外驻时间 0,总工作时间840
杭州东站533分出乘G7382/1 →G7509 →G7542/1 →G7381 杭州东站1206分退乘 ,总长度, 673,纯乘务时间 358,总接续时间 315,外驻时间 0,总工作时间793
南京南站688分出乘G1481 →G7621 →G7621/1 →G2364/3 →G9516 →G7612 南京南站1363分退乘 ,总长度, 675,纯乘务时间 520,总接续时间 155,外驻时间 0,总工作时间795
南京南站803分出乘G7572/3 →G7267 →G7070 南京南站1360分退乘 ,总长度, 557,纯乘务时间 458,总接续时间 99,外驻时间 0,总工作时间677
杭州东站871分出乘G7546/1 →G7519 →G7545/1 →G7466 杭州东站1365分退乘 ,总长度, 494,纯乘务时间 428,总接续时间 66,外驻时间 0,总工作时间614
合肥南站435分出乘D5495 →G266 →G7412/1 →G7158 合肥南站1003分退乘 ,总长度, 568,纯乘务时间 134,总接续时间 434,外驻时间 0,总工作时间688
南京南站439分出乘G7103 →G16 →G145/1 南京南站1140分退乘 ,总长度, 701,纯乘务时间 475,总接续时间 226,外驻时间 0,总工作时间821
南京南站800分出乘G7127 →G7545 →G7524 →G7126 南京南站1353分退乘 ,总长度, 553,纯乘务时间 505,总接续时间 48,外驻时间 0,总工作时间673
合肥南站550分出乘G7684 →G7516/1 →G7196/7 合肥南站1225分退乘 ,总长度, 675,纯乘务时间 419,总接续时间 256,外驻时间 0,总工作时间795
上海虹桥站490分出乘G7549 →G7678 →G7678/1 →G7158/1 →G7158/2 上海虹桥站1206分退乘 ,总长度, 716,纯乘务时间 515,总接续时间 201,外驻时间 0,总工作时间836
南京南站553分出乘G7175/1 →G7509 →G7518 →G7122 南京南站1269分退乘 ,总长度, 716,纯乘务时间 453,总接续时间 263,外驻时间 0,总工作时间836
杭州东站548分出乘G7643/2 →G7643/3 →G7325/2 →G7599/3 →G7538 杭州东站1223分退乘 ,总长度, 675,纯乘务时间 373,总接续时间 302,外驻时间 0,总工作时间795
上海虹桥站484分出乘G7503 →G7503/1 →G7542 →G7550 上海虹桥站1171分退乘 ,总长度, 687,纯乘务时间 377,总接续时间 310,外驻时间 0,总工作时间807
上海虹桥站654分出乘G7386/1 →G7386/2 →G7618 →G7650/1 →G1640/4 上海虹桥站1363分退乘 ,总长度, 709,纯乘务时间 458,总接续时间 251,外驻时间 0,总工作时间829
