iter,label num,time*10000
1,11377,2231.831
2,11365,2118.922
3,11001,5181.126
4,10825,2202.441
5,10454,2489.671
6,10209,2633.994
7,10180,2475.838
8,9874,2540.482
9,11896,2886.459
10,11885,2855.683
11,10614,2658.997
12,9968,2631.014
13,10941,2786.972
14,9050,2698.091
15,11405,2740.22
16,9162,2545.087
17,9303,2573.456
18,14383,3294.972
19,13552,3269.687
20,10078,2659.464
21,14926,3496.413
22,14419,3218.5
23,13900,3493.762
24,10163,2628.97
25,15700,3543.464
26,12408,2969.521
27,12244,3022.871
28,13534,4018.528
29,12990,3294.545
30,14050,3659.337
31,12591,3027.04
32,12948,3431.919
33,11024,2759.81
34,10931,2755.953
35,8675,2654.807
36,13152,3018.458
37,14109,3150.273
38,10143,2552.301
39,9771,2470.95
40,10367,2548.564
41,11366,2809.239
42,11760,2889.192
43,8915,2503.697
44,8838,2475.795
