第211个节点
UB = 338400, LB = 338400, GAP = 0
南京南站433分出乘G7641 →G7611/1 →G7608 →G7626/2 南京南站1189分退乘 ,总长度, 756,纯乘务时间 302,总接续时间 454,外驻时间 0,总工作时间876
南京南站367分出乘G7601 →G7639 →G36 →G54/1 →G215/2 南京南站1136分退乘 ,总长度, 769,纯乘务时间 350,总接续时间 419,外驻时间 0,总工作时间889
上海虹桥站540分出乘G7505/1 →G7684/2 →G7518 →G7176 →G1938/3 上海虹桥站1306分退乘 ,总长度, 766,纯乘务时间 315,总接续时间 451,外驻时间 0,总工作时间886
上海虹桥站306分出乘G7564/5 →G7643 →G7638/1 →G7334/1 →G7546/2 上海虹桥站932分退乘 ,总长度, 626,纯乘务时间 304,总接续时间 322,外驻时间 0,总工作时间746
杭州东站628分出乘G7611/1 →G7599/5 →G7537/2 →G7528 →G7534 →G7534/1 杭州东站1347分退乘 ,总长度, 719,纯乘务时间 345,总接续时间 374,外驻时间 0,总工作时间839
上海虹桥站664分出乘G7461 →G7540/3 →G7114 →G7121 →G7381/2 →G1660/3 上海虹桥站1398分退乘 ,总长度, 734,纯乘务时间 483,总接续时间 251,外驻时间 0,总工作时间854
南京南站521分出乘G1862/1 →G212/2 →G212/3 →G129/1 →G7158/1 →G7520/3 南京南站1240分退乘 ,总长度, 719,纯乘务时间 396,总接续时间 323,外驻时间 0,总工作时间839
南京南站496分出乘G7507 →G16 →G122/1 →G412/2 →G23/1 南京南站1275分退乘 ,总长度, 779,纯乘务时间 443,总接续时间 336,外驻时间 0,总工作时间899
合肥南站626分出乘G7598 →G411/3 →G7122 →G7596/4 合肥南站1363分退乘 ,总长度, 737,纯乘务时间 323,总接续时间 414,外驻时间 0,总工作时间857
上海虹桥站722分出乘G7594/4 →G1484/5 →G7620/2 →G23/2 上海虹桥站1359分退乘 ,总长度, 637,纯乘务时间 229,总接续时间 408,外驻时间 0,总工作时间757
南京南站510分出乘G7686/1 →G7268/3 →G7571 →G7296/1 →G164/5 →G23/1 南京南站1275分退乘 ,总长度, 765,纯乘务时间 483,总接续时间 282,外驻时间 0,总工作时间885
南京站336分出乘G7029 →G7004 →D9522/3 →D9524/1 南京站1014分退乘 ,总长度, 678,纯乘务时间 548,总接续时间 130,外驻时间 0,总工作时间798
杭州站611分出乘G7354 →G7571/3 →G7550/5 →G7366/1 →G7315 杭州站1348分退乘 ,总长度, 737,纯乘务时间 296,总接续时间 441,外驻时间 0,总工作时间857
南京南站521分出乘G1862/1 →G212/2 →G212/3 →G137/1 →G7592/5 →D9520 南京南站1238分退乘 ,总长度, 717,纯乘务时间 386,总接续时间 331,外驻时间 0,总工作时间837
合肥南站511分出乘G7401 →G7406 →DJ7725 →G7652/3 合肥南站1271分退乘 ,总长度, 760,纯乘务时间 619,总接续时间 141,外驻时间 0,总工作时间880
杭州东站395分出乘G7659 →G7674/1 →G7648/2 →G7550/2 →G7550/3 →G7550/4 杭州东站1101分退乘 ,总长度, 706,纯乘务时间 354,总接续时间 352,外驻时间 0,总工作时间826
上海虹桥站504分出乘G576 →D9511 →D9512 →G7229 →G9246 →G7592/3 →G7288/1 →G578/3 上海虹桥站1246分退乘 ,总长度, 742,纯乘务时间 449,总接续时间 293,外驻时间 0,总工作时间862
