iter,label num,time*10000
1,19832,19649.511
2,19122,7164.662
3,19231,5941.223
4,18171,10561.781
5,17970,7085.163
6,17310,5693.252
7,19611,8174.885
8,19482,6285.596
9,20283,11351.192
10,19717,5962.899
11,17041,7241.857
12,17042,6220.777
13,21221,12425.348
14,16546,5348.408
15,19249,7454.005
16,24355,8343.933
17,25187,13698.025
18,23422,9803.853
19,26469,9732.051
20,29218,14686.391
21,28767,11919.901
22,29464,10905.121
23,31705,15701.197
24,32249,10850.876
25,31477,11688.711
26,35114,16323.856
27,32706,16595.889
28,39137,12513.888
29,37098,11315.455
30,36103,12869.773
31,35561,16057.417
32,38163,14244.07
33,37989,17307.189
34,31991,12601.016
35,33312,16454.645
36,36431,12655.837
37,35940,13969.403
38,38831,19158.586
39,39831,19794.022
40,39199,19170.705
41,38855,13385.534
42,38584,16935.892
43,35862,18261.303
44,36214,12129.959
45,28859,15206.484
46,27685,10518.185
47,14474,9495.31
48,28839,12082.172
49,28697,9670.19
50,28589,14533.169
51,20243,9750.177
52,20039,7711.867
53,15903,5544.174
54,15961,7671.726
55,17368,7747.24
56,22084,7761.356
