第35个节点
UB = 64800, LB = 64800, GAP = 0
北京南站565分出乘C2029 →C2024+ →C2047 →C2042 北京南站791分退乘 ,总长度, 226,纯乘务时间 140,总接续时间 86,外驻时间 0,总工作时间346
北京南站403分出乘C2595 →C2208 →C2025 →C2022 北京南站637分退乘 ,总长度, 234,纯乘务时间 146,总接续时间 88,外驻时间 0,总工作时间354
北京南站1166分出乘C2239 →C2090 →C2101 →C2108 北京南站1407分退乘 ,总长度, 241,纯乘务时间 146,总接续时间 95,外驻时间 0,总工作时间361
北京南站1051分出乘C2233 →C2078 →C2095 →C2094 北京南站1298分退乘 ,总长度, 247,纯乘务时间 146,总接续时间 101,外驻时间 0,总工作时间367
北京南站451分出乘C2203 →C2210 →C2033 →C2028 北京南站700分退乘 ,总长度, 249,纯乘务时间 152,总接续时间 97,外驻时间 0,总工作时间369
北京南站387分出乘C2005 →C2206 →C2583 →C2214 北京南站618分退乘 ,总长度, 231,纯乘务时间 152,总接续时间 79,外驻时间 0,总工作时间351
天津站365分出乘C2002 →C2011 →C2010+ →C2023 天津站578分退乘 ,总长度, 213,纯乘务时间 140,总接续时间 73,外驻时间 0,总工作时间333
北京南站374分出乘C2003 →C2006 →C2019 →C2584 北京南站598分退乘 ,总长度, 224,纯乘务时间 140,总接续时间 84,外驻时间 0,总工作时间344
天津站577分出乘C2214 →C2039 →C2220 →C2219 天津站821分退乘 ,总长度, 244,纯乘务时间 158,总接续时间 86,外驻时间 0,总工作时间364
北京南站1256分出乘C2245 →C2106 北京南站1388分退乘 ,总长度, 132,纯乘务时间 76,总接续时间 56,外驻时间 0,总工作时间252
北京南站1146分出乘C2089+ →C2088+ →C2099 →C2580 北京南站1375分退乘 ,总长度, 229,纯乘务时间 140,总接续时间 89,外驻时间 0,总工作时间349
北京南站1108分出乘C2237 →C2244 →C2097 →C2102 北京南站1358分退乘 ,总长度, 250,纯乘务时间 152,总接续时间 98,外驻时间 0,总工作时间370
