task1,task2,task3,task4,task5,task6,task7,task8,task9,task10,task11,task12,task13,task14,task15,task16,task17,task18,task19,task20,task21,task22,task23,task24,task25,task26,task27,task28,task29,task30,task31,task32,task33,task34,task35,task36,task37,task38,task39,task40,task41,task42,task43,task44,task45,task46,task47,task48,task49,task50,task51,task52,task53,task54,task55,task56,task57,task58,task59,task60,task61,task62,task63,task64,task65,task66,task67,task68,task69,task70,task71,task72,task73,task74,task75,task76,task77,task78,task79,task80,task81,task82,task83,task84,task85,task86,task87,task88,task89,task90,task91,task92,task93,task94,task95,task96,task97,task98,task99,task100,task101,task102,task103,task104,task105,task106,task107,task108,task109,task110,task111,task112,task113,task114,task115,task116,task117,task118,task119,task120,task121,task122,task123,task124,task125,task126,task127,task128,task129,task130,task131,task132,task133,task134,task135,task136,task137,task138,task139,task140,task141,task142,task143,task144,task145,task146,task147,task148,task149,task150,task151,task152,task153,task154,task155,task156,task157,task158
0,1440,0,1440,1440,1440,1440,0,0,0,0,0,0,0,1440,1440,0,1440,0,0,1440,0,0,1440,1440,1440,0,0,1440,0,1440,1440,0,1440,1440,1440,0,1440,0,0,1440,1440,1440,1440,0,1440,1440,1440,1440,0,1440,0,1440,1440,0,1440,1440,1440,1440,0,0,0,1440,1440,1440,0,1440,0,0,0,1440,1440,0,0,0,1440,0,1440,0,0,1440,1440,1440,1440,0,0,1440,1440,0,0,0,0,1440,1440,1440,1440,1440,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,1440,0,0,1440,0,0,0,1440,1440,1440,1440,1440,0,1440,1440
0,1440,0,1440,1440,1440,1440,0,0,0,0,0,0,0,1440,1440,0,1440,0,0,1440,0,0,1440,0,1440,0,0,1440,0,0,1440,0,1440,1440,1440,0,1440,0,0,1440,0,1440,1440,0,1440,0,0,0,0,0,1440,1440,1440,0,1440,1440,1440,1440,1440,0,0,1440,1440,1440,0,1440,0,0,1440,0,0,0,0,0,1440,0,1440,0,0,1440,1440,0,1440,0,0,1440,0,0,0,0,0,1440,1440,1440,1440,1440,1440,0,1440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,0,0,1440,1440,1440,0,0,1440,0,0,0,0,1440,0,1440,1440,0,1440,1440
1440,1440,0,1440,1440,1440,720,720,0,0,0,0,0,1440,1440,0,0,1440,0,0,0,0,1440,720,0,1440,0,1440,1440,0,0,0,0,1440,1440,1440,0,0,0,0,0,0,0,1440,0,1440,1440,0,0,0,1440,0,0,0,0,1440,1440,1440,1440,1440,0,0,1440,0,1440,1440,1440,0,0,0,0,0,1440,0,0,1440,0,1440,0,0,1440,1440,0,1440,0,0,0,0,0,0,0,0,1440,1440,1440,1440,1440,1440,0,1440,0,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,1440,0,0,1440,0,0,0,0,0,0,0,0,1440,1440,1440,0,0,1440,0,0,0,1440,0,0,1440,1440,0,1440,0
0,1440,1440,0,1440,0,0,1440,0,0,0,1440,0,1440,1440,720,0,1440,0,0,720,0,0,0,0,720,0,0,1440,0,1440,0,0,1440,0,1440,0,0,0,0,720,0,0,1440,720,0,1440,0,0,0,1440,0,0,0,0,1440,1440,1440,0,1440,0,0,1440,0,1440,1440,0,0,0,1440,0,0,0,0,0,1440,0,1440,0,0,1440,1440,1440,1440,0,0,0,0,0,0,0,0,1440,1440,1440,1440,1440,1440,0,1440,720,0,0,0,0,0,0,0,0,0,1440,0,0,0,0,1440,0,0,0,0,1440,1440,0,1440,0,0,0,0,0,0,0,0,1440,0,0,0,0,0,0,0,0,1440,1440,1440,0,0,720,0,0,0,1440,0,0,0,1440,0,1440,0
308.571428571428,0,1440,411.428571428572,1440,0,1.70530256582424E-13,1440,1440,0,0,1028.57142857143,0,308.571428571429,1440,308.571428571428,0,514.285714285714,0,0,1028.57142857143,0,617.142857142857,1.70530256582424E-13,0,411.428571428572,1131.42857142857,411.428571428572,1440,0,514.285714285714,1131.42857142857,925.714285714286,1440,0,1440,0,0,0,0,411.428571428571,0,0,308.571428571429,0,0,308.571428571429,925.714285714286,925.714285714286,514.285714285714,102.857142857143,1337.14285714286,102.857142857143,0,1131.42857142857,1440,822.857142857143,1440,0,0,0,0,0,617.142857142857,822.857142857143,617.142857142857,925.714285714286,0,0,925.714285714286,0,0,0,0,925.714285714286,822.857142857143,0,1440,0,0,0,1440,925.714285714286,1440,0,1440,0,514.285714285714,0,0,0,514.285714285714,0,1440,1440,925.714285714286,1440,1440,0,1440,822.857142857143,0,0,0,0,0,0,0,0,0,308.571428571429,0,0,1028.57142857143,0,1440,514.285714285714,0,102.857142857143,0,514.285714285714,1440,0,925.714285714286,0,0,617.142857142857,0,0,514.285714285714,0,0,925.714285714286,0,0,0,0,0,0,0,514.285714285714,1440,1440,411.428571428572,0,617.142857142857,0,0,0,1337.14285714286,0,514.285714285714,0,514.285714285714,1440,0,822.857142857143,1131.42857142857
1440,0,1440,720,1440,0,270,1170,0,1170,89.9999999999999,720,0,720,720,0,0,0,0,540,720,0,630,270,0,360,720,0,990,0,990,0,450,1440,450,1440,0,0,0,810,180,540,360,270,360,0,270,0,1080,1440,0,1080,0,0,630,990,900,1440,450,180,450,0,360,900,540,540,0,0,0,0,0,0,0,0,1080,540,0,1440,0,0,0,1440,0,1440,0,1440,0,1440,0,1440,0,1440,0,0,1440,0,1440,1440,720,1440,0,0,0,0,0,0,0,450,0,0,0,0,0,630,0,990,180,360,0,0,1440,1440,0,1260,0,0,540,0,0,1440,0,0,0,0,0,0,0,0,0,0,0,1440,1440,720,0,0,1440,0,0,720,180,180,0,1440,1440,0,900,0
576,0,1440,553.846153846154,1440,0,332.307692307692,1107.69230769231,0,1107.69230769231,110.769230769231,886.153846153846,0,288,288,0,0,864,0,664.615384615385,553.846153846154,0,443.076923076923,332.307692307692,0,443.076923076923,598.153846153846,0,576,0,1440,0,0,864,0,0,1440,0,576,443.076923076923,221.538461538462,443.076923076923,443.076923076923,0,443.076923076923,0,553.846153846154,0,221.538461538462,0,775.384615384615,221.538461538462,0,0,443.076923076923,1440,886.153846153846,0,0,221.538461538462,0,1440,996.923076923077,1163.07692307692,221.538461538462,276.923076923077,276.923076923077,0,0,276.923076923077,0,0,0,221.538461538462,0,166.153846153846,0,1440,0,0,276.923076923077,1440,553.846153846154,1163.07692307692,276.923076923077,1163.07692307692,110.769230769231,1163.07692307692,0,886.153846153846,0,1218.46153846154,0,276.923076923077,1440,0,1440,1440,1152,1440,864,0,0,0,0,0,0,0,0,0,553.846153846154,0,864,443.076923076923,0,1440,996.923076923077,443.076923076923,0,276.923076923077,553.846153846154,1440,0,443.076923076923,0,0,276.923076923077,609.230769230769,1.13686837721616E-13,886.153846153846,0,1218.46153846154,110.769230769231,0,0,0,276.923076923077,0,0,0,443.076923076923,1163.07692307692,1440,886.153846153846,0,0,576,0,0,553.846153846154,443.076923076923,996.923076923077,276.923076923077,886.153846153846,1440,0,1163.07692307692,864
576,0,1440,547.2,1440,0,547.2,892.8,0,892.8,105.6,883.200000000001,0,288,288,0,0,864,0,547.2,345.599999999999,0,441.6,547.2,0,451.2,1113.6,211.2,576,0,1440,0,0,0,0,720,720,547.2,1440,748.8,0,748.8,96.0000000000005,0,240,0,38.4000000000001,0,0,9.59999999999951,672,124.799999999999,9.60000000000051,0,652.8,1440,1401.6,1420.8,0,720,0,19.2,1305.6,1420.8,9.60000000000051,19.2,19.2,0,0,0,19.2,0,76.8000000000002,19.2,0,0,0,0,0,0,19.2,1440,19.2,1382.4,38.4000000000001,1363.2,19.2,1363.2,0,1305.6,0,1420.8,38.4000000000003,57.6000000000004,1440,0,1440,1440,1152,1440,864,0,0,0,0,9.59999999999985,0,0,0,0,38.4,0,864,643.2,0,1440,720,643.200000000001,0,19.2,19.2,0,0,47.9999999999999,0,0,19.2,1401.6,19.2000000000002,1401.6,0,1420.8,0,1440,0,0,38.4000000000003,0,0,0,134.4,1382.4,1440,681.6,0,0,576,720,720,556.8,124.8,1315.2,76.8000000000002,1401.6,1440,0,1420.8,864
695.172413793103,49.6551724137931,1440,571.034482758621,1440,0,124.137931034483,1315.86206896552,0,1315.86206896552,198.620689655172,868.965517241379,0,0,347.586206896552,0,0,744.827586206897,0,74.4827586206897,571.034482758621,0,372.413793103448,124.137931034483,0,322.758620689655,0,0,223.448275862069,0,968.275862068965,347.586206896552,471.724137931035,744.827586206897,471.724137931035,819.310344827586,620.689655172414,0,620.689655172414,322.758620689655,620.689655172414,322.758620689655,546.206896551724,223.448275862069,546.206896551724,446.896551724138,744.827586206897,0,0,446.896551724138,0,893.793103448276,0,0,372.413793103448,968.275862068965,471.724137931035,893.793103448276,24.8275862068966,1440,471.724137931035,546.206896551724,446.896551724138,918.620689655172,99.3103448275864,521.379310344828,446.896551724138,0,0,546.206896551724,0,0,0,546.206896551724,0,0,0,0,0,0,397.241379310345,1440,844.137931034483,968.275862068965,384.827586206897,893.793103448276,521.379310344828,893.793103448276,0,422.068965517241,0,893.793103448276,74.4827586206895,471.724137931035,1440,0,1440,1440,1092.41379310345,1440,744.827586206897,0,0,0,0,-1.13686837721616E-13,0,695.172413793103,0,0,744.827586206897,0,521.379310344828,372.413793103448,0,968.275862068965,0,322.758620689655,0,446.896551724138,546.206896551724,74.4827586206897,546.206896551724,0,0,0,521.379310344828,446.896551724138,86.8965517241379,508.965517241379,0,893.793103448276,24.8275862068966,1440,0,0,471.724137931035,0,0,0,993.103448275862,968.275862068965,1440,868.965517241379,0,0,695.172413793103,819.310344827586,0,571.034482758621,546.206896551724,893.793103448276,546.206896551724,595.862068965517,1440,0,918.620689655172,744.827586206897
734.117647058824,71.9327731092435,1440,462.521008403362,1440,0,437.647058823529,1002.35294117647,281.008403361345,1002.35294117647,207.731092436975,977.478991596638,0,4.03361344537802,367.058823529412,0,0,705.882352941176,0,84.7058823529411,0,281.008403361345,254.789915966386,437.647058823529,0,182.857142857143,193.613445378151,181.512605042017,338.823529411765,0,1044.70588235294,363.025210084034,395.294117647059,705.882352941176,395.294117647059,790.588235294118,649.411764705882,693.781512605042,564.705882352941,305.882352941177,564.705882352941,487.394957983193,564.705882352941,145.210084033613,613.109243697479,395.294117647059,334.789915966386,0,0,0,84.7058823529412,0,181.512605042017,0,617.81512605042,960,480,875.294117647059,0,790.588235294118,480,564.705882352941,875.294117647059,875.294117647059,564.705882352941,84.7058823529412,225.882352941176,0,0,84.7058823529412,84.7058823529412,0,0,0,0,387.899159663865,0,387.899159663865,0,0,84.7058823529412,1129.41176470588,84.7058823529412,1440,0,1440,176.806722689076,1355.29411764706,0,1440,0,1355.29411764706,0,0,1440,84.7058823529412,1440,1440,1072.94117647059,1440,705.882352941176,0,0,0,0,0,0,730.084033613446,0,0,516.302521008403,0,371.09243697479,436.302521008403,0,1044.70588235294,84.7058823529412,620.504201680673,0,395.294117647059,84.7058823529412,0,564.705882352941,0,564.705882352941,480,84.7058823529412,960,0,1355.29411764706,0,875.294117647059,0,668.90756302521,0,310.588235294118,0,0,0,387.899159663865,0,1355.29411764706,1052.10084033613,795.966386554622,0,0,734.117647058824,790.588235294118,84.7058823529411,206.386554621849,564.705882352941,875.294117647059,0,1129.41176470588,1158.99159663866,383.193277310924,1355.29411764706,705.882352941176
