iter,label num,time*10000
1,1345,194.149
2,1276,68.505
3,1289,67.431
4,1307,71.024
5,1734,98.806
6,1760,110.497
7,2029,114.68
8,1991,109.099
9,1932,107.662
10,2077,105.298
11,1717,95.065
12,1450,80.893
13,1450,72.383
14,1450,80.217
15,1450,77.6
16,1450,68.971
17,1450,95.907
18,1450,76.39
19,1450,74.09
20,1450,81.038
21,1671,84.532
22,1147,61.488
23,880,52.678
24,885,45.199
25,1872,103.104
26,1872,102.976
27,2136,110.369
28,989,63.758
29,962,46.089
30,1251,74.966
31,880,38.601
32,1749,94.415
33,1912,138.421
34,885,50.476
35,1091,61.338
36,1823,93.414
37,885,52.725
38,1019,56.172
39,1019,56.583
40,1019,49.424
41,1019,52.187
42,885,48.33
43,885,49.783
44,1290,69.552
45,880,54.65
46,879,54.124
47,1127,63.6
48,868,44.152
49,872,49.651
50,872,47.568
51,1224,65.499
52,1306,89.296
53,867,44.678
54,1191,53.957
55,1191,62.646
56,1104,48.381
57,1138,54.774
58,1156,65.328
59,969,74.598
60,1200,87.427
61,1246,70.771
62,1038,62.078
63,1013,60.756
