iter,label num,time*10000
1,3051,681.55
2,2847,505.656
3,2734,504.801
4,2771,798.924
5,2742,476
6,2632,469.817
7,2771,694.011
8,2665,507.854
9,2578,557.266
10,2519,565.716
11,2448,445.254
12,2424,471.262
13,2434,523.603
14,3154,546.879
15,3213,601.914
16,2766,517.176
17,3092,560.896
18,2889,533.939
19,3072,528.47
20,3300,551.972
21,3663,601.204
22,3899,709.119
23,4420,869.824
24,3925,741.837
25,3629,759.66
26,3457,733.9
27,2987,608.029
28,3035,696.017
29,3101,636.209
30,2754,498.373
31,2853,573.55
32,2427,562.795
33,2489,535.252
34,3044,636.932
35,3166,726.695
36,2961,570.069
37,2755,598.454
38,2696,486.169
39,2371,525.908
40,2423,531.057
