iter,label num,time*10000
1,1403,482.832
2,1560,452.431
3,1763,328.475
4,1909,566.517
5,1880,334.858
6,1663,553.702
7,1461,453.996
8,1739,510.755
9,1233,247.143
10,1918,444.754
11,1192,442.507
12,2195,573.835
13,1233,250.125
14,1334,466.256
15,2321,405.459
16,953,341.613
17,953,187.051
18,953,178.68
19,953,177.538
20,953,349.941
21,953,313.812
22,953,338.281
23,953,366.06
24,953,271.496
25,953,365.248
26,953,208.717
27,953,186.629
28,953,167.821
29,953,329.079
30,953,332.785
31,953,298.425
32,953,299.772
33,982,302.102
34,982,313.876
35,1138,205.546
36,1138,360.293
37,1138,208.004
38,1138,211.084
39,1138,382.865
40,1138,372.607
41,1138,354.667
42,1138,238.812
43,1138,364.97
44,1138,218.954
45,1138,362.335
46,1138,205.457
47,1138,338.192
48,953,171.875
49,953,300.271
50,1408,375.212
51,1142,230.599
52,1142,381.062
53,1142,348.483
54,947,299.044
55,947,304.474
56,947,304.751
57,947,284.523
58,947,294.092
