iter,label num,time*10000
1,1345,229.836
2,1316,184.209
3,1286,219.747
4,1327,360.278
5,1416,392.014
6,1360,221.54
7,1469,255.214
8,1314,191.585
9,1601,219.492
10,1830,234.59
11,2064,414.238
12,1983,466.401
13,1659,355.701
14,2106,434.216
15,1776,213.977
16,1213,249.851
17,1946,315.782
18,1882,253.187
19,1987,311.801
20,2055,323.015
21,1840,297.997
22,1250,168.001
23,1250,162.206
24,1250,189.553
25,1250,180.633
26,1250,198.716
27,1250,194.368
28,1250,181.337
29,1250,200.848
30,1250,164.173
31,1250,163.613
32,1250,190.282
33,1250,165.121
34,1250,163.241
35,1250,191.384
36,917,156.498
37,1941,271.624
38,1273,211.141
39,924,123.438
40,1315,179.93
41,1468,291.058
42,1361,166.578
43,1361,177.564
44,924,114.575
45,924,126.056
46,924,152.576
47,924,120.001
48,924,155.29
49,924,120.768
50,924,156.291
51,924,230.544
52,924,235.538
53,924,156.88
54,924,142.446
55,924,145.095
56,1133,173.623
57,1365,184.401
58,1358,218.301
59,1342,203.551
60,903,159.674
61,903,156.306
62,1197,154.828
63,926,155.158
64,1119,184.327
65,1147,184.702
66,943,195.38
67,898,129.36
68,898,122.538
69,898,119.803
70,898,155.578
71,898,153.232
72,923,161.114
73,951,121.87
74,899,303.807
