交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,343,D9513,745,782,南京,芜湖
1,344,D9514,805,848,芜湖,南京
1,345,D9515,868,905,南京,芜湖
1,156,G7284/1,938,1083,芜湖,上海
1,36,G7026,1140,1240,上海,南京
2,211,G7327,381,406,杭州,诸暨
2,212,G7328,423,448,诸暨,杭州
2,205,G7302,478,543,杭州,上海
2,186,G7351,578,667,上海,杭州
3,200,G7417,785,893,合肥,黄山北
3,201,G7418,933,1034,黄山北,合肥
3,317,D5663,1064,1175,合肥,安庆
3,318,D5664,1195,1300,安庆,合肥
4,315,D5659,803,908,合肥,安庆
4,316,D5660,936,1041,安庆,合肥
4,295,D5662,1082,1187,合肥,安庆
4,296,D5665,1225,1331,安庆,合肥
5,241,G7413,470,571,合肥,黄山北
5,242,G7414,593,701,黄山北,合肥
5,335,G9503,747,851,合肥,安庆
5,336,G9504,871,973,安庆,合肥
6,163,G7634/1,759,911,合肥,杭州
6,196,G7360,937,1041,杭州,上海
6,203,G7196/7,1074,1225,上海,合肥
7,297,DJ8698,312,402,合肥,南京
7,125,G7043,491,618,南京,上海
7,153,G7264/5,677,852,上海,合肥
8,243,G7417,785,893,合肥,黄山北
8,244,G7418,933,1034,黄山北,合肥
8,249,G7427,1083,1193,合肥,安庆
8,250,G7428,1219,1315,安庆,合肥
9,298,D5641,420,463,南京,芜湖
9,92,G7150/47,498,664,芜湖,上海
9,15,G7012,720,819,上海,南京
10,187,G7304,690,759,杭州,上海
10,117,G7114,847,967,上海,南京
10,158,G7613,982,1075,南京,杭州
11,39,G7047,609,727,南京,上海
11,105,G7148/9,815,982,上海,芜湖
11,348,D9518,1060,1103,芜湖,南京
12,204,G7301,395,460,上海,杭州
12,205,G7302,478,543,杭州,上海
12,27,G7008,600,699,上海,南京
12,144,G7229,779,902,南京,上海
13,96,G7105,518,644,南京,上海
13,155,G7282/3,693,854,上海,芜湖
13,346,D9516,925,962,芜湖,南京
14,311,DJ8697,300,390,南京,安庆
14,312,D5652,411,522,安庆,合肥
14,313,D5655,542,647,合肥,安庆
14,301,D5604,688,808,安庆,南京
15,178,G7649,927,1105,南京,衢州
15,328,G9314,1182,1269,衢州,杭州
15,272,G7612,1282,1363,杭州,南京
16,94,G7117,882,1004,南京,上海
16,197,G7359,1074,1171,上海,杭州
16,198,G7352,1200,1291,杭州,上海
16,111,G7096,1310,1410,上海,南京
17,177,G7609,833,980,南京,宁波
17,269,G7550,1060,1170,宁波,上海
17,120,G7066,1208,1329,上海,南京
18,37,DJ7715,301,388,南京,上海
18,24,G7002,420,525,上海,南京
18,82,G7045,569,696,南京,上海
18,15,G7012,720,819,上海,南京
19,227,DJ7725,287,333,上海,杭州
19,270,G7556,408,483,杭州,上海
19,51,G7206,505,546,上海,苏州
19,52,G7205,564,603,苏州,上海
20,43,DJ7716,305,408,上海,南京
20,182,G7505,433,650,南京,宁波
20,183,G7510,684,807,宁波,上海
21,58,G7037,400,538,南京,上海
21,59,G7202,557,610,上海,无锡
21,60,G7201,630,691,无锡,上海
21,40,G7048,745,874,上海,南京
22,281,D5562/3,331,380,南京,扬州
22,282,D5564/1,405,457,扬州,南京
22,300,D5601,545,665,南京,安庆
22,301,D5604,688,808,安庆,南京
23,56,G7097,1120,1244,南京,上海
23,67,G7030,1260,1379,上海,南京
24,66,G7065,1092,1220,南京,上海
24,174,G7070,1240,1360,上海,南京
25,189,G7308,892,951,杭州,上海
25,99,G7116,974,1095,上海,南京
25,143,G7099,1125,1257,南京,上海
25,192,G7315,1290,1348,上海,杭州
26,262,G9311,1128,1266,上海,衢州
26,326,G9312,1286,1407,衢州,上海
27,249,G7427,1083,1193,合肥,安庆
27,304,D5666,1249,1348,安庆,合肥
28,305,D5653,438,544,合肥,安庆
28,334,G9502,622,725,安庆,合肥
29,81,G7032,353,474,上海,南京
29,232,G7507,496,728,南京,宁波
29,233,G7512,748,872,宁波,上海
30,189,G7308,892,951,杭州,上海
30,132,G7064,975,1100,上海,南京
30,22,G7025,1140,1239,南京,上海
30,192,G7315,1290,1348,上海,杭州
31,74,G7101,371,500,南京,上海
31,47,G7038,545,668,上海,南京
32,161,G7369,389,472,杭州,丽水
32,162,G7632/3,488,737,丽水,合肥
32,163,G7634/1,759,911,合肥,杭州
33,103,G7120,1089,1209,上海,南京
33,80,G7069,1241,1360,南京,上海
34,79,G7058,1093,1220,上海,南京
34,80,G7069,1241,1360,南京,上海
35,207,G7317/20,694,837,上海,宜兴
35,208,G7319/8,863,1019,宜兴,上海
35,85,G7208,1041,1075,上海,苏州
35,86,G7207,1106,1147,苏州,上海
36,333,G9501,490,599,合肥,安庆
36,314,D5656,676,781,安庆,合肥
37,18,G7017,900,1000,南京,上海
37,35,G7024,1080,1185,上海,南京
38,236,G7558,426,492,杭州,上海
38,186,G7351,578,667,上海,杭州
39,287,D5516/7,773,912,南京,南通
39,288,D5528/5,936,1073,南通,南京
39,349,D9519,1135,1178,南京,芜湖
39,350,D9520,1200,1237,芜湖,南京
40,289,D5536/7,1093,1241,南京,南通
40,290,D5548/5,1261,1408,南通,南京
41,307,D5603,715,841,南京,安庆
41,308,D5606,860,992,安庆,南京
42,220,DJ7731,291,445,杭州,温州南
42,221,G7568,480,637,温州南,杭州
43,325,G9311,1128,1266,上海,衢州
43,263,G9312,1286,1407,衢州,上海
44,234,G7517,896,1011,上海,宁波
44,267,G7524,1094,1217,宁波,上海
45,61,G7244/5,713,886,上海,合肥
45,331,G9408/5,913,1064,合肥,上海
46,38,G7034,414,559,上海,南京
46,341,D9511,620,663,南京,芜湖
46,342,D9512,683,726,芜湖,南京
46,112,G7127,800,936,南京,上海
47,230,G7566/3,826,1086,合肥,杭州
47,159,G7652/3,1121,1271,杭州,合肥
48,176,G7604,730,811,杭州,南京
48,302,D5605,828,954,南京,安庆
48,303,D5608,974,1094,安庆,南京
48,167,G7603,1130,1218,南京,杭州
49,253,G7463,1069,1217,杭州,温州南
49,254,G7466,1233,1370,温州南,杭州
50,68,G7039,434,554,南京,上海
50,69,G7040,594,712,上海,南京
51,199,G7501,410,687,上海,苍南
51,165,G7322,728,944,苍南,上海
52,129,G7228/5,480,612,合肥,上海
52,126,G7236/7,640,819,上海,合肥
53,237,G7393/2,454,661,南京,上海
53,83,G7046,740,852,上海,南京
54,227,DJ7725,287,333,上海,杭州
54,193,G7358,370,456,杭州,上海
54,268,G7549,490,622,上海,宁波
