交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,273,D5502/3,420,573,南京,南通
1,274,D5514/1,600,764,南通,南京
2,283,D5506/7,480,635,南京,南通
2,284,D5518/5,655,807,南通,南京
3,277,D5512/3,555,698,南京,南通
3,278,D5524/1,714,862,南通,南京
4,275,D5522/3,800,952,南京,南通
4,276,D5534/1,972,1121,南通,南京
4,349,D9519,1135,1178,南京,芜湖
4,350,D9520,1200,1237,芜湖,南京
5,285,D5526/7,842,1005,南京,南通
5,286,D5538/5,1055,1210,南通,南京
6,279,D5532/3,949,1110,南京,南通
6,280,D5544/1,1168,1320,南通,南京
7,289,D5536/7,1093,1241,南京,南通
7,290,D5548/5,1261,1408,南通,南京
8,281,D5562/3,331,380,南京,扬州
8,282,D5564/1,405,457,扬州,南京
8,125,G7043,491,618,南京,上海
8,53,G7044,646,764,上海,南京
9,281,D5562/3,331,380,南京,扬州
9,282,D5564/1,405,457,扬州,南京
9,96,G7105,518,644,南京,上海
9,97,G7106,665,778,上海,南京
10,309,D5607,1010,1136,南京,安庆
10,310,D5610,1156,1270,安庆,南京
11,298,D5641,420,463,南京,芜湖
11,299,D5642,482,525,芜湖,南京
11,300,D5601,545,665,南京,安庆
11,301,D5604,688,808,安庆,南京
12,298,D5641,420,463,南京,芜湖
12,92,G7150/47,498,664,芜湖,上海
12,40,G7048,745,874,上海,南京
13,291,D5651,411,517,合肥,安庆
13,292,D5654,537,648,安庆,合肥
13,293,D5657,680,785,合肥,安庆
13,294,D5658,811,916,安庆,合肥
14,305,D5653,438,544,合肥,安庆
14,306,D5602,577,697,安庆,南京
14,307,D5603,715,841,南京,安庆
14,336,G9504,871,973,安庆,合肥
15,315,D5659,803,908,合肥,安庆
15,316,D5660,936,1041,安庆,合肥
15,295,D5662,1082,1187,合肥,安庆
15,296,D5665,1225,1331,安庆,合肥
16,295,D5662,1082,1187,合肥,安庆
16,304,D5666,1249,1348,安庆,合肥
17,345,D9515,868,905,南京,芜湖
17,156,G7284/1,938,1083,芜湖,上海
17,238,G7391/4,1098,1304,上海,南京
18,351,D9522/3,600,774,南京,南通
18,352,D9524/1,853,1014,南通,南京
19,353,D9526/7,1037,1186,南京,南通
19,354,D9528/5,1209,1357,南通,南京
20,231,DJ7698,306,374,上海,南京
20,168,G7643,424,653,南京,丽水
20,169,G7348,679,844,丽水,上海
21,175,DJ7699,310,378,南京,上海
21,239,G7395/8,447,660,上海,南京
22,37,DJ7715,301,388,南京,上海
22,24,G7002,420,525,上海,南京
22,104,G7107,550,678,南京,上海
22,93,G7108,700,824,上海,南京
23,43,DJ7716,305,408,上海,南京
23,182,G7505,433,650,南京,宁波
23,183,G7510,684,807,宁波,上海
24,227,DJ7725,287,333,上海,杭州
24,211,G7327,381,406,杭州,诸暨
24,212,G7328,423,448,诸暨,杭州
24,205,G7302,478,543,杭州,上海
24,59,G7202,557,610,上海,无锡
24,60,G7201,630,691,无锡,上海
25,227,DJ7725,287,333,上海,杭州
25,193,G7358,370,456,杭州,上海
25,268,G7549,490,622,上海,宁波
25,183,G7510,684,807,宁波,上海
26,227,DJ7725,287,333,上海,杭州
26,228,G7361,350,444,杭州,江山
26,229,G7364,459,636,江山,上海
27,227,DJ7725,287,333,上海,杭州
27,270,G7556,408,483,杭州,上海
27,51,G7206,505,546,上海,苏州
27,52,G7205,564,603,苏州,上海
28,220,DJ7731,291,445,杭州,温州南
28,221,G7568,480,637,温州南,杭州
29,311,DJ8697,300,390,南京,安庆
29,312,D5652,411,522,安庆,合肥
29,313,D5655,542,647,合肥,安庆
29,301,D5604,688,808,安庆,南京
30,297,DJ8698,312,402,合肥,南京
30,68,G7039,434,554,南京,上海
30,126,G7236/7,640,819,上海,合肥
31,10,G7001,420,520,南京,上海
31,47,G7038,545,668,上海,南京
31,48,G7049,700,823,南京,上海
31,31,G7016,840,941,上海,南京
32,25,G7003,480,579,南京,上海
32,206,G7180,615,698,上海,南京
32,307,D5603,715,841,南京,安庆
32,308,D5606,860,992,安庆,南京
33,26,G7005,540,639,南京,上海
33,28,G7010,660,759,上海,南京
33,287,D5516/7,773,912,南京,南通
33,288,D5528/5,936,1073,南通,南京
34,29,G7011,720,819,南京,上海
34,184,G7515,840,955,上海,宁波
34,185,G7520,976,1240,宁波,南京
35,30,G7013,780,879,南京,上海
35,234,G7517,896,1011,上海,宁波
35,269,G7550,1060,1170,宁波,上海
35,23,G7028,1200,1299,上海,南京
36,16,G7014,780,879,上海,南京
36,18,G7017,900,1000,南京,上海
36,209,G7311,1047,1119,上海,杭州
36,198,G7352,1200,1291,杭州,上海
37,17,G7015,840,940,南京,上海
37,19,G7020,960,1059,上海,南京
37,66,G7065,1092,1220,南京,上海
37,174,G7070,1240,1360,上海,南京
38,17,G7015,840,940,南京,上海
38,55,G7054,980,1100,上海,南京
38,100,G7123,1114,1230,南京,上海
38,67,G7030,1260,1379,上海,南京
39,17,G7015,840,940,南京,上海
39,99,G7116,974,1095,上海,南京
39,56,G7097,1120,1244,南京,上海
39,57,G7098,1265,1378,上海,南京
40,18,G7017,900,1000,南京,上海
40,20,G7022,1020,1121,上海,南京
40,22,G7025,1140,1239,南京,上海
40,111,G7096,1310,1410,上海,南京
41,33,G7019,960,1060,南京,上海
