iter,label num,time*10000
1,1328,267.622
2,1484,68.529
3,1717,107.747
4,1906,110.497
5,1866,102.996
6,1639,99.187
7,1437,92.59
8,1276,88.118
9,1578,107.987
10,1176,75.87
11,1811,103.233
12,1388,81.066
13,1750,106.442
14,2219,120.808
15,1193,83.35
16,1105,68.209
17,872,59
18,872,90.221
19,872,55.902
20,872,61.927
21,872,57.074
22,872,87.383
23,872,69.93
24,872,53.259
25,872,53.281
26,872,45.908
27,872,46.109
28,872,111.95
29,872,45.792
30,872,50.458
31,872,47.011
32,872,37.938
33,872,45.918
34,872,39.434
35,872,48.945
36,872,47.73
37,872,62.813
38,872,57.464
39,872,69.505
40,872,58.31
41,872,54.736
42,872,67.269
43,872,60.115
44,872,65.814
45,872,57.54
46,872,63.261
47,872,76.156
48,872,61.788
49,872,71.401
50,872,79.282
51,872,58.795
