交路编号,编号,车次,出发时刻,到达时刻,出发车站,到达车站
1,227,DJ7725,287,333,上海,杭州
1,211,G7327,381,406,杭州,诸暨
1,212,G7328,423,448,诸暨,杭州
1,205,G7302,478,543,杭州,上海
1,59,G7202,557,610,上海,无锡
1,60,G7201,630,691,无锡,上海
2,176,G7604,730,811,杭州,南京
2,84,G7057,867,988,南京,上海
2,209,G7311,1047,1119,上海,杭州
3,22,G7025,1140,1239,南京,上海
3,111,G7096,1310,1410,上海,南京
4,119,G7029,336,450,南京,上海
4,11,G7004,480,579,上海,南京
5,236,G7558,426,492,杭州,上海
5,186,G7351,578,667,上海,杭州
6,71,G7050,870,990,上海,南京
6,34,G7021,1020,1121,南京,上海
7,249,G7427,1083,1193,合肥,安庆
7,296,D5665,1225,1331,安庆,合肥
8,317,D5663,1064,1175,合肥,安庆
8,250,G7428,1219,1315,安庆,合肥
9,295,D5662,1082,1187,合肥,安庆
9,304,D5666,1249,1348,安庆,合肥
10,200,G7417,785,893,合肥,黄山北
10,201,G7418,933,1034,黄山北,合肥
11,193,G7358,370,456,杭州,上海
11,115,G7036,490,614,上海,南京
11,116,G7111,629,748,南京,上海
11,188,G7305,810,876,上海,杭州
12,253,G7463,1069,1217,杭州,温州南
12,254,G7466,1233,1370,温州南,杭州
13,25,G7003,480,579,南京,上海
13,107,G7042,605,726,上海,南京
14,343,D9513,745,782,南京,芜湖
14,344,D9514,805,848,芜湖,南京
14,94,G7117,882,1004,南京,上海
14,20,G7022,1020,1121,上海,南京
15,122,G7031,354,474,南京,上海
15,51,G7206,505,546,上海,苏州
15,52,G7205,564,603,苏州,上海
15,53,G7044,646,764,上海,南京
16,38,G7034,414,559,上海,南京
16,341,D9511,620,663,南京,芜湖
16,342,D9512,683,726,芜湖,南京
16,108,G7053,790,915,南京,上海
17,39,G7047,609,727,南京,上海
17,105,G7148/9,815,982,上海,芜湖
17,348,D9518,1060,1103,芜湖,南京
18,189,G7308,892,951,杭州,上海
18,218,G7309,982,1063,上海,杭州
18,210,G7314,1142,1203,杭州,上海
18,192,G7315,1290,1348,上海,杭州
19,21,G7023,1080,1179,南京,上海
19,120,G7066,1208,1329,上海,南京
20,24,G7002,420,525,上海,南京
20,104,G7107,550,678,南京,上海
21,243,G7417,785,893,合肥,黄山北
21,244,G7418,933,1034,黄山北,合肥
22,88,G7102,440,565,上海,南京
22,13,G7007,600,700,南京,上海
23,81,G7032,353,474,上海,南京
23,26,G7005,540,639,南京,上海
24,231,DJ7698,306,374,上海,南京
24,298,D5641,420,463,南京,芜湖
24,299,D5642,482,525,芜湖,南京
24,82,G7045,569,696,南京,上海
25,56,G7097,1120,1244,南京,上海
25,57,G7098,1265,1378,上海,南京
26,70,G7051,729,853,南京,上海
26,32,G7018,900,1005,上海,南京
27,10,G7001,420,520,南京,上海
27,47,G7038,545,668,上海,南京
28,220,DJ7731,291,445,杭州,温州南
28,221,G7568,480,637,温州南,杭州
29,103,G7120,1089,1209,上海,南京
29,80,G7069,1241,1360,南京,上海
30,79,G7058,1093,1220,上海,南京
30,80,G7069,1241,1360,南京,上海
31,143,G7099,1125,1257,南京,上海
31,111,G7096,1310,1410,上海,南京
32,83,G7046,740,852,上海,南京
32,41,G7059,905,1019,南京,上海
33,112,G7127,800,936,南京,上海
33,19,G7020,960,1059,上海,南京
34,125,G7043,491,618,南京,上海
34,28,G7010,660,759,上海,南京
35,178,G7649,927,1105,南京,衢州
35,328,G9314,1182,1269,衢州,杭州
35,272,G7612,1282,1363,杭州,南京
36,227,DJ7725,287,333,上海,杭州
36,270,G7556,408,483,杭州,上海
36,75,G7104,534,650,上海,南京
36,76,G7113,665,771,南京,上海
37,302,D5605,828,954,南京,安庆
37,303,D5608,974,1094,安庆,南京
38,74,G7101,371,500,南京,上海
38,75,G7104,534,650,上海,南京
39,262,G9311,1128,1266,上海,衢州
39,263,G9312,1286,1407,衢州,上海
40,305,D5653,438,544,合肥,安庆
40,334,G9502,622,725,安庆,合肥
41,281,D5562/3,331,380,南京,扬州
41,282,D5564/1,405,457,扬州,南京
41,96,G7105,518,644,南京,上海
41,97,G7106,665,778,上海,南京
42,100,G7123,1114,1230,南京,上海
42,67,G7030,1260,1379,上海,南京
43,30,G7013,780,879,南京,上海
43,65,G7052,939,1064,上海,南京
44,90,G7110,766,895,上海,南京
44,118,G7119,983,1105,南京,上海
45,16,G7014,780,879,上海,南京
45,78,G7061,947,1070,南京,上海
46,35,G7024,1080,1185,上海,南京
46,80,G7069,1241,1360,南京,上海
47,175,DJ7699,310,378,南京,上海
47,204,G7301,395,460,上海,杭州
47,205,G7302,478,543,杭州,上海
47,206,G7180,615,698,上海,南京
48,93,G7108,700,824,上海,南京
48,18,G7017,900,1000,南京,上海
49,43,DJ7716,305,408,上海,南京
49,44,G7103,439,565,南京,上海
49,186,G7351,578,667,上海,杭州
49,187,G7304,690,759,杭州,上海
50,91,G7063,975,1100,南京,上海
50,73,G7124,1169,1288,上海,南京
51,226,G7341,360,549,杭州,苍南
51,181,G7624,593,769,苍南,杭州
52,54,G7055,834,951,南京,上海
52,132,G7064,975,1100,上海,南京
53,29,G7011,720,819,南京,上海
53,142,G7100,885,1011,上海,南京
54,68,G7039,434,554,南京,上海
54,69,G7040,594,712,上海,南京
55,155,G7282/3,693,854,上海,芜湖
55,346,D9516,925,962,芜湖,南京
55,158,G7613,982,1075,南京,杭州
55,210,G7314,1142,1203,杭州,上海
56,31,G7016,840,941,上海,南京
56,72,G7121,1015,1137,南京,上海
57,40,G7048,745,874,上海,南京
57,33,G7019,960,1060,南京,上海
58,307,D5603,715,841,南京,安庆
58,308,D5606,860,992,安庆,南京
59,325,G9311,1128,1266,上海,衢州
59,326,G9312,1286,1407,衢州,上海
60,335,G9503,747,851,合肥,安庆
60,316,D5660,936,1041,安庆,合肥
61,66,G7065,1092,1220,南京,上海
61,174,G7070,1240,1360,上海,南京
62,48,G7049,700,823,南京,上海
62,117,G7114,847,967,上海,南京
62,347,D9517,995,1038,南京,芜湖
62,146,D5644,1095,1132,芜湖,南京
63,345,D9515,868,905,南京,芜湖
63,156,G7284/1,938,1083,芜湖,上海
63,87,G7062,1172,1293,上海,南京
64,240,G7397/6,1094,1284,南京,上海
64,111,G7096,1310,1410,上海,南京
65,21,G7023,1080,1179,南京,上海
65,215,G7126,1230,1353,上海,南京
66,58,G7037,400,538,南京,上海
66,27,G7008,600,699,上海,南京
67,287,D5516/7,773,912,南京,南通
67,288,D5528/5,936,1073,南通,南京
68,61,G7244/5,713,886,上海,合肥
68,331,G9408/5,913,1064,合肥,上海
69,207,G7317/20,694,837,上海,宜兴
69,208,G7319/8,863,1019,宜兴,上海
70,163,G7634/1,759,911,合肥,杭州
70,164,G7656/7,934,1108,杭州,合肥
71,231,DJ7698,306,374,上海,南京
71,237,G7393/2,454,661,南京,上海
72,144,G7229,779,902,南京,上海
72,99,G7116,974,1095,上海,南京
73,339,D9509,495,541,南京,芜湖
73,340,D9510,562,599,芜湖,南京
73,116,G7111,629,748,南京,上海
73,77,G7112,793,916,上海,南京
74,289,D5536/7,1093,1241,南京,南通
74,290,D5548/5,1261,1408,南通,南京
75,227,DJ7725,287,333,上海,杭州
75,228,G7361,350,444,杭州,江山
75,229,G7364,459,636,江山,上海
76,145,G7218/9,929,1073,上海,芜湖
76,114,G7220/17,1158,1324,芜湖,上海
77,231,DJ7698,306,374,上海,南京
77,298,D5641,420,463,南京,芜湖
77,92,G7150/47,498,664,芜湖,上海
78,279,D5532/3,949,1110,南京,南通
78,280,D5544/1,1168,1320,南通,南京
79,273,D5502/3,420,573,南京,南通
79,274,D5514/1,600,764,南通,南京
80,260,G7541,361,550,上海,台州
80,261,G7508,565,747,台州,上海
81,275,D5522/3,800,952,南京,南通
81,276,D5534/1,972,1121,南通,南京
82,61,G7244/5,713,886,上海,合肥
82,62,G7246/3,918,1111,合肥,上海
83,37,DJ7715,301,388,南京,上海
83,239,G7395/8,447,660,上海,南京
84,15,G7012,720,819,上海,南京
84,17,G7015,840,940,南京,上海
84,218,G7309,982,1063,上海,杭州
84,219,G7312,1080,1140,杭州,上海
85,89,G7109,595,720,南京,上海
85,188,G7305,810,876,上海,杭州
85,189,G7308,892,951,杭州,上海
85,55,G7054,980,1100,上海,南京
86,123,G7232/3,495,725,上海,六安
86,202,G7198/5,793,1032,六安,上海
87,98,G7115,810,932,南京,上海
87,218,G7309,982,1063,上海,杭州
87,210,G7314,1142,1203,杭州,上海
87,45,G7068,1219,1341,上海,南京
88,231,DJ7698,306,374,上海,南京
88,46,G7035,391,515,南京,上海
88,12,G7006,540,639,上海,南京
88,14,G7009,660,759,南京,上海
89,123,G7232/3,495,725,上海,六安
89,245,G7198/5,793,1032,六安,上海
